critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,direc_birthyear,birth_place,d_countries,age
Joseph Fahim,Egypt,Freelance film critic,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,1974.0,"Texas, USA", USA,45.0
Joseph Fahim,Egypt,Freelance film critic,Caché ,Michael Haneke,2005.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany,77.0
Joseph Fahim,Egypt,Freelance film critic,Divine Intervention ,Elia Suleiman,2002.0,Elia Suleiman,,/name/nm0837839/,1960.0,"Nazareth, Israel", Israel,59.0
Joseph Fahim,Egypt,Freelance film critic,Crimson Gold ,Jafar Panahi,2003.0,Jafar Panahi,,/name/nm0070159/,1960.0,"Mianeh, Azarbaijan Province, Iran", Iran,59.0
Devin Faraci,US,Birth.Movies.Death.,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
Devin Faraci,US,Birth.Movies.Death.,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA,65.0
Devin Faraci,US,Birth.Movies.Death.,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Devin Faraci,US,Birth.Movies.Death.,Spider-Man 2 ,Sam Raimi,2004.0,Sam Raimi,,/name/nm0000600/,1959.0,"Royal Oak, Michigan, USA", USA,60.0
Devin Faraci,US,Birth.Movies.Death.,Oldboy ,Park Chan-wook,2003.0,Park Chan-wook,,/name/nm0661791/,1963.0,"Seoul, South Korea", South Korea,56.0
Devin Faraci,US,Birth.Movies.Death.,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,1963.0,"Knoxville, Tennessee, USA", USA,56.0
Devin Faraci,US,Birth.Movies.Death.,Frozen ,Chris Buck and Jennifer Lee,2013.0,Chris Buck, Jennifer Lee,/name/nm0118333/,1958.0,"Wichita, Kansas, USA", USA,61.0
Devin Faraci,US,Birth.Movies.Death.,25th Hour ,Spike Lee,2002.0,Spike Lee,,/name/nm0000490/,1957.0,"Atlanta, Georgia, USA", USA,62.0
Devin Faraci,US,Birth.Movies.Death.,Requiem for a Dream ,Darren Aronofsky,2000.0,Darren Aronofsky,,/name/nm0004716/,1969.0,"Brooklyn, New York City, New York, USA", USA,50.0
Devin Faraci,US,Birth.Movies.Death.,Shaun of the Dead ,Edgar Wright,2004.0,Edgar Wright,,/name/nm0942367/,1974.0,"Poole, Dorset, England, UK", UK,45.0
David Fear,US,Rolling Stone,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
David Fear,US,Rolling Stone,"4 Months, 3 Weeks & 2 Days ",Cristian Mungiu,2007.0,Cristian Mungiu,,/name/nm0612816/,1968.0,"Iasi, Romania", Romania,51.0
David Fear,US,Rolling Stone,Yi Yi: A One and a Two ,Edward Yang,2000.0,Edward Yang,,/name/nm0945981/,1947.0,"Shanghai, China", China,72.0
David Fear,US,Rolling Stone,Shame ,Steve McQueen,2011.0,Steve McQueen,,/name/nm0000537/,1930.0,"Beech Grove, Indiana, USA", USA,89.0
David Fear,US,Rolling Stone,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,1960.0,"Houston, Texas, USA", USA,59.0
David Fear,US,Rolling Stone,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
David Fear,US,Rolling Stone,Manchester by the Sea ,Kenneth Lonergan,2016.0,Kenneth Lonergan,,/name/nm0518836/,1962.0,"New York City, New York, USA", USA,57.0
David Fear,US,Rolling Stone,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
David Fear,US,Rolling Stone,Head-On ,Fatih Akin,2004.0,Fatih Akin,,/name/nm0015359/,1973.0,"Hamburg, West Germany", West Germany,46.0
David Fear,US,Rolling Stone,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Scott Feinberg,US,The Hollywood Reporter,Sideways ,Alexander Payne,2004.0,Alexander Payne,,/name/nm0668247/,1961.0,"Omaha, Nebraska, USA", USA,58.0
Scott Feinberg,US,The Hollywood Reporter,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
Scott Feinberg,US,The Hollywood Reporter,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,1958.0,"New York City, New York, USA", USA,61.0
Scott Feinberg,US,The Hollywood Reporter,The Diving Bell and the Butterfly ,Julian Schnabel,2007.0,Julian Schnabel,,/name/nm0773603/,1951.0,"Brooklyn, New York, USA", USA,68.0
Scott Feinberg,US,The Hollywood Reporter,Dogville ,Lars von Trier,2003.0,Lars von Trier,,/name/nm0001885/,1956.0,"Copenhagen, Denmark", Denmark,63.0
Scott Feinberg,US,The Hollywood Reporter,Short Term 12 ,Destin Daniel Cretton,2013.0,Destin Daniel Cretton,,/name/nm2308774/,1978.0,"Maui, Hawaii, USA", USA,41.0
Scott Feinberg,US,The Hollywood Reporter,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,1965.0,"Boston, Massachusetts, USA", USA,54.0
Scott Feinberg,US,The Hollywood Reporter,Blue Valentine ,Derek Cianfrance,2010.0,Derek Cianfrance,,/name/nm0161834/,1974.0,"Lakewood, Colorado, USA", USA,45.0
Scott Feinberg,US,The Hollywood Reporter,The Squid and the Whale ,Noah Baumbach,2005.0,Noah Baumbach,,/name/nm0000876/,1969.0,"Brooklyn, New York City, New York, USA", USA,50.0
Scott Feinberg,US,The Hollywood Reporter,A Serious Man ,Joel and Ethan Coen,2009.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA,65.0
Javier Porta Fouz,Argentina,La Nacion,Jersey Boys ,Clint Eastwood,2014.0,Clint Eastwood,,/name/nm0000142/,1930.0,"San Francisco, California, USA", USA,89.0
Javier Porta Fouz,Argentina,La Nacion,Moulin Rouge! ,Baz Luhrmann,2001.0,Baz Luhrmann,,/name/nm0525303/,1962.0,"New South Wales, Australia", Australia,57.0
Javier Porta Fouz,Argentina,La Nacion,Nine Queens ,Fabián Bielinsky,2000.0,Fabián Bielinsky,,/name/nm0081433/,1959.0,"Buenos Aires, Argentina", Argentina,60.0
Javier Porta Fouz,Argentina,La Nacion,Mia Madre ,Nanni Moretti,2015.0,Nanni Moretti,,/name/nm0604335/,1953.0,"Brunico, Trentino-Alto Adige, Italy", Italy,66.0
Javier Porta Fouz,Argentina,La Nacion,"Right Now, Wrong Then ",Hong Sang-soo,2015.0,Hong Sang-soo,,/name/nm0393254/,1960.0,"Seoul, Korea", Korea,59.0
Javier Porta Fouz,Argentina,La Nacion,Toy Story 3 ,Lee Unkrich,2010.0,Lee Unkrich,,/name/nm0881279/,1967.0,"Cleveland, Ohio, USA", USA,52.0
Javier Porta Fouz,Argentina,La Nacion,Mad Max: Fury Road ,George Miller,2015.0,George Miller,,/name/nm0004306/,1945.0,"Chinchilla, Queensland, Australia", Australia,74.0
Javier Porta Fouz,Argentina,La Nacion,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan,78.0
Javier Porta Fouz,Argentina,La Nacion,Adventureland ,Greg Mottola,2009.0,Greg Mottola,,/name/nm0609549/,1964.0,"Dix Hills, Long Island, New York, USA", USA,55.0
Javier Porta Fouz,Argentina,La Nacion,Open Range ,Kevin Costner,2003.0,Kevin Costner,,/name/nm0000126/,1955.0,"Lynwood, California, USA", USA,64.0
Kenji Fujishima,US,Freelance film critic,The World ,Jia Zhangke,2004.0,Jia Zhangke,,/title/tt4092686/,,,,
Kenji Fujishima,US,Freelance film critic,Profit Motive and the Whispering Wind ,John Gianvito,2007.0,John Gianvito,,/name/nm1072936/,,,,
Kenji Fujishima,US,Freelance film critic,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,1963.0,"Knoxville, Tennessee, USA", USA,56.0
Kenji Fujishima,US,Freelance film critic,Pulse ,Kiyoshi Kurosawa,2001.0,Kiyoshi Kurosawa,,/name/nm0475905/,1955.0,"Kobe, Japan", Japan,64.0
Kenji Fujishima,US,Freelance film critic,Syndromes and a Century ,Apichatpong Weerasethakul,2006.0,Apichatpong Weerasethakul,,/name/nm0917405/,1970.0,"Bangkok, Thailand", Thailand,49.0
Kenji Fujishima,US,Freelance film critic,In Jackson Heights ,Frederick Wiseman,2015.0,Frederick Wiseman,,/name/nm0936464/,1930.0,"Boston, Massachusetts, USA", USA,89.0
Kenji Fujishima,US,Freelance film critic,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,1958.0,"New York City, New York, USA", USA,61.0
Kenji Fujishima,US,Freelance film critic,Love Exposure ,Sion Sono,2008.0,Sion Sono,,/name/nm0814469/,1961.0,"Toyokawa, Aichi, Japan", Japan,58.0
Kenji Fujishima,US,Freelance film critic,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,1943.0,"Ottawa, Illinois, USA", USA,76.0
Kenji Fujishima,US,Freelance film critic,Casino Royale ,Martin Campbell,2006.0,Martin Campbell,,/name/nm0132709/,1943.0,"Hastings, New Zealand", New Zealand,76.0
Ernesto Garratt,Chile,El Mercurio,Oldboy ,Park Chan-wook,2003.0,Park Chan-wook,,/name/nm0661791/,1963.0,"Seoul, South Korea", South Korea,56.0
Ernesto Garratt,Chile,El Mercurio,Children of Men ,Alfonso Cuarón,2006.0,Alfonso Cuarón,,/name/nm0190859/,1961.0,"Mexico City, Distrito Federal, Mexico", Mexico,58.0
Ernesto Garratt,Chile,El Mercurio,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Ernesto Garratt,Chile,El Mercurio,The Secret in Their Eyes ,Juan José Campanella,2009.0,Juan José Campanella,,/name/nm0002728/,1959.0,"Buenos Aires, Argentina", Argentina,60.0
Ernesto Garratt,Chile,El Mercurio,Sicario ,Denis Villeneuve,2015.0,Denis Villeneuve,,/name/nm0898288/,1967.0,"Trois-Rivières, Québec, Canada", Canada,52.0
Ernesto Garratt,Chile,El Mercurio,No ,Pablo Larraín,2012.0,Pablo Larraín,,/name/nm1883257/,1976.0,"Santiago, Chile", Chile,43.0
Ernesto Garratt,Chile,El Mercurio,Donnie Darko ,Richard Kelly,2001.0,Richard Kelly,,/name/nm0446819/,1975.0,"Newport News, Virginia, USA", USA,44.0
Ernesto Garratt,Chile,El Mercurio,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France,56.0
Ernesto Garratt,Chile,El Mercurio,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
Ernesto Garratt,Chile,El Mercurio,Whiplash ,Damien Chazelle,2014.0,Damien Chazelle,,/name/nm3227090/,1985.0,"Providence, Rhode Island, USA", USA,34.0
Steven Gaydos,US,Variety,Ex Machina ,Alex Garland,2015.0,Alex Garland,,/name/nm0307497/,1970.0,"London, England, UK", UK,49.0
Steven Gaydos,US,Variety,Inside Out ,Pete Docter,2015.0,Pete Docter,,/name/nm0230032/,1968.0,"Bloomington, Minnesota, USA", USA,51.0
Steven Gaydos,US,Variety,Animal Kingdom ,David Michôd,2010.0,David Michôd,,/name/nm2391575/,,,,
Steven Gaydos,US,Variety,Apocalypto ,Mel Gibson,2006.0,Mel Gibson,,/name/nm0000154/,1956.0,"Peekskill, New York, USA", USA,63.0
Steven Gaydos,US,Variety,Three Monkeys ,Nuri Bilge Ceylan,2008.0,Nuri Bilge Ceylan,,/name/nm0149196/,1959.0,"Istanbul, Turkey", Turkey,60.0
Steven Gaydos,US,Variety,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,1965.0,"Boston, Massachusetts, USA", USA,54.0
Steven Gaydos,US,Variety,Listen to Me Marlon ,Stevan Riley,2015.0,Stevan Riley,,/name/nm2257147/,,,,
Steven Gaydos,US,Variety,"4 Months, 3 Weeks & 2 Days ",Cristian Mungiu,2007.0,Cristian Mungiu,,/name/nm0612816/,1968.0,"Iasi, Romania", Romania,51.0
Steven Gaydos,US,Variety,Talladega Nights: The Ballad of Ricky Bobby ,Adam McKay,2006.0,Adam McKay,,/name/nm0570912/,1968.0,"Philadelphia, Pennsylvania, USA", USA,51.0
Steven Gaydos,US,Variety,Centochiodi ,Ermanno Olmi,2007.0,Ermanno Olmi,,/name/nm0647438/,1931.0,"Bergamo, Lombardy, Italy", Italy,88.0
Noah Gittell,US,Washington City Paper,United 93 ,Paul Greengrass,2006.0,Paul Greengrass,,/name/nm0339030/,1955.0,"Cheam, Surrey, England, UK", UK,64.0
Noah Gittell,US,Washington City Paper,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
Noah Gittell,US,Washington City Paper,Bridesmaids ,Paul Feig,2011.0,Paul Feig,,/name/nm0082450/,1962.0,"Mount Clemens, Michigan, USA", USA,57.0
Noah Gittell,US,Washington City Paper,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,1965.0,"Boston, Massachusetts, USA", USA,54.0
Noah Gittell,US,Washington City Paper,Brooklyn ,John Crowley,2015.0,John Crowley,,/name/nm1259871/,1969.0,"Cork, Ireland", Ireland,50.0
Noah Gittell,US,Washington City Paper,The Look of Silence ,Joshua Oppenheimer,2014.0,Joshua Oppenheimer,,/name/nm1484791/,1974.0,"Texas, USA", USA,45.0
Noah Gittell,US,Washington City Paper,Punch-Drunk Love ,Paul Thomas Anderson,2002.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Noah Gittell,US,Washington City Paper,12 Years a Slave ,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,1930.0,"Beech Grove, Indiana, USA", USA,89.0
Noah Gittell,US,Washington City Paper,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France,56.0
Noah Gittell,US,Washington City Paper,We Need to Talk About Kevin ,Lynne Ramsay,2011.0,Lynne Ramsay,,/name/nm0708903/,1969.0,"Glasgow, Strathclyde, Scotland, UK", UK,50.0
Owen Gleiberman,US,Variety,Far From Heaven ,Todd Haynes,2002.0,Todd Haynes,,/name/nm0001331/,1961.0,"Los Angeles, California, USA", USA,58.0
Owen Gleiberman,US,Variety,Chuck & Buck ,Miguel Arteta,2000.0,Miguel Arteta,,/name/nm0037708/,,,,
Owen Gleiberman,US,Variety,Gladiator ,Ridley Scott,2000.0,Ridley Scott,,/name/nm0000631/,1937.0,"South Shields, County Durham, England, UK", UK,82.0
Owen Gleiberman,US,Variety,The Century of the Self ,Adam Curtis,2002.0,Adam Curtis,,/name/nm0193231/,1955.0,"Dartford, Kent, England, UK", UK,64.0
Owen Gleiberman,US,Variety,Moulin Rouge! ,Baz Luhrmann,2001.0,Baz Luhrmann,,/name/nm0525303/,1962.0,"New South Wales, Australia", Australia,57.0
Owen Gleiberman,US,Variety,Munich ,Steven Spielberg,2005.0,Steven Spielberg,,/name/nm0000229/,1946.0,"Cincinnati, Ohio, USA", USA,73.0
Owen Gleiberman,US,Variety,Casino Royale ,Martin Campbell,2006.0,Martin Campbell,,/name/nm0132709/,1943.0,"Hastings, New Zealand", New Zealand,76.0
Owen Gleiberman,US,Variety,Lilya 4-Ever ,Lukas Moodysson,2002.0,Lukas Moodysson,,/name/nm0600546/,1969.0,"Malmö, Skåne län, Sweden", Sweden,50.0
Owen Gleiberman,US,Variety,Sideways ,Alexander Payne,2004.0,Alexander Payne,,/name/nm0668247/,1961.0,"Omaha, Nebraska, USA", USA,58.0
Owen Gleiberman,US,Variety,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,1963.0,"Knoxville, Tennessee, USA", USA,56.0
Ed Gonzalez,US,Slant Magazine,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Ed Gonzalez,US,Slant Magazine,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Ed Gonzalez,US,Slant Magazine,The New World ,Terrence Malick,2005.0,Terrence Malick,,/name/nm0000517/,1943.0,"Ottawa, Illinois, USA", USA,76.0
Ed Gonzalez,US,Slant Magazine,Certified Copy ,Abbas Kiarostami,2010.0,Abbas Kiarostami,,/name/nm0452102/,1940.0,"Tehran, Iran", Iran,79.0
Ed Gonzalez,US,Slant Magazine,Femme Fatale ,Brian De Palma,2002.0,Brian De Palma,,/name/nm0000361/,1940.0,"Newark, New Jersey, USA", USA,79.0
Ed Gonzalez,US,Slant Magazine,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,1962.0,"New York City, New York, USA", USA,57.0
Ed Gonzalez,US,Slant Magazine,Under the Skin ,Jonathan Glazer,2013.0,Jonathan Glazer,,/name/nm0322242/,1965.0,"London, England, UK", UK,54.0
Ed Gonzalez,US,Slant Magazine,This Is Not a Film ,Mojtaba Mirtahmasb and Jafar Panahi,2011.0,Mojtaba Mirtahmasb, Jafar Panahi,/name/nm0592554/,,,,
Ed Gonzalez,US,Slant Magazine,Two Lovers ,James Gray,2008.0,James Gray,,/name/nm0336695/,1969.0,"New York City, New York, USA", USA,50.0
Ed Gonzalez,US,Slant Magazine,Heart of a Dog ,Laurie Anderson,2015.0,Laurie Anderson,,/name/nm0002173/,1947.0,"Glen Ellyn, Illinois, USA", USA,72.0
Juan Carlos González,Colombia,El Tiempo,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Juan Carlos González,Colombia,El Tiempo,"4 Months, 3 Weeks & 2 Days ",Cristian Mungiu,2007.0,Cristian Mungiu,,/name/nm0612816/,1968.0,"Iasi, Romania", Romania,51.0
Juan Carlos González,Colombia,El Tiempo,A Separation ,Asghar Farhadi,2011.0,Asghar Farhadi,,/name/nm1410815/,1972.0,"Khomeyni Shahr, Isfahan, Iran", Iran,47.0
Juan Carlos González,Colombia,El Tiempo,Son of Saul ,László Nemes,2015.0,László Nemes,,/name/nm1841577/,1977.0,"Budapest, Hungary", Hungary,42.0
Juan Carlos González,Colombia,El Tiempo,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,1952.0,"Louisville, Kentucky, USA", USA,67.0
Juan Carlos González,Colombia,El Tiempo,A Prophet ,Jacques Audiard,2009.0,Jacques Audiard,,/name/nm0002191/,1952.0,"Paris, France", France,67.0
Juan Carlos González,Colombia,El Tiempo,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Juan Carlos González,Colombia,El Tiempo,The Lives of Others ,Florian Henckel von Donnersmarck,2006.0,Florian Henckel von Donnersmarck,,/name/nm0003697/,1973.0,"Cologne, North Rhine-Westphalia, Germany", Germany,46.0
Juan Carlos González,Colombia,El Tiempo,Frances Ha ,Noah Baumbach,2012.0,Noah Baumbach,,/name/nm0000876/,1969.0,"Brooklyn, New York City, New York, USA", USA,50.0
Juan Carlos González,Colombia,El Tiempo,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France,56.0
Carmen Gray,Germany,Berlin Critics’ Week,Werckmeister Harmonies ,Béla Tarr and Ágnes Hranitzky,2000.0,Béla Tarr, Ágnes Hranitzky,/name/nm0850601/,1955.0,"Pécs, Hungary", Hungary,64.0
Carmen Gray,Germany,Berlin Critics’ Week,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,1974.0,"Texas, USA", USA,45.0
Carmen Gray,Germany,Berlin Critics’ Week,White Material ,Claire Denis,2009.0,Claire Denis,,/name/nm0219136/,1946.0,"Paris, France", France,73.0
Carmen Gray,Germany,Berlin Critics’ Week,Even If She Had Been a Criminal... ,Jean-Gabriel Périot,2006.0,Jean-Gabriel Périot,,/name/nm1516014/,,,,
Carmen Gray,Germany,Berlin Critics’ Week,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,1973.0,"Bolinas, California, USA", USA,46.0
Carmen Gray,Germany,Berlin Critics’ Week,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China,63.0
Carmen Gray,Germany,Berlin Critics’ Week,Stranger by the Lake ,Alain Guiraudie,2013.0,Alain Guiraudie,,/name/nm0347492/,1964.0,"Villefranche-de-Rouergue, Aveyron, France", France,55.0
Carmen Gray,Germany,Berlin Critics’ Week,Colossal Youth ,Pedro Costa,2006.0,Pedro Costa,,/name/nm0182276/,1958.0,"Lisbon, Portugal", Portugal,61.0
Carmen Gray,Germany,Berlin Critics’ Week,Story of My Death ,Albert Serra,2013.0,Albert Serra,,/name/nm2247200/,,,,
Carmen Gray,Germany,Berlin Critics’ Week,Aurora ,Cristi Puiu,2010.0,Cristi Puiu,,/name/nm1090998/,1967.0,"Bucharest, Romania", Romania,52.0
Tim Grierson,US,Screen International,Dogville ,Lars von Trier,2003.0,Lars von Trier,,/name/nm0001885/,1956.0,"Copenhagen, Denmark", Denmark,63.0
Tim Grierson,US,Screen International,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA,57.0
Tim Grierson,US,Screen International,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Tim Grierson,US,Screen International,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA,65.0
Tim Grierson,US,Screen International,Yi Yi: A One and a Two ,Edward Yang,2000.0,Edward Yang,,/name/nm0945981/,1947.0,"Shanghai, China", China,72.0
Tim Grierson,US,Screen International,The Turin Horse ,Béla Tarr and Ágnes Hranitzky,2011.0,Béla Tarr, Ágnes Hranitzky,/name/nm0850601/,1955.0,"Pécs, Hungary", Hungary,64.0
Tim Grierson,US,Screen International,The Master ,Paul Thomas Anderson,2012.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA,49.0
Tim Grierson,US,Screen International,It's Such a Beautiful Day ,Don Hertzfeldt,2012.0,Don Hertzfeldt,,/name/nm0381116/,1976.0,"Fremont, California, USA", USA,43.0
Tim Grierson,US,Screen International,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,1960.0,"Houston, Texas, USA", USA,59.0
Tim Grierson,US,Screen International,Shutter Island ,Martin Scorsese,2010.0,Martin Scorsese,,/name/nm0000217/,1942.0,"Queens, New York City, New York, USA", USA,77.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Saraband ,Ingmar Bergman,2003.0,Ingmar Bergman,,/name/nm0000005/,1918.0,"Uppsala, Uppsala län, Sweden", Sweden,101.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Memento ,Christopher Nolan,2000.0,Christopher Nolan,,/name/nm0634240/,1970.0,"London, England, UK", UK,49.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Blue Is the Warmest Color ,Abdellatif Kechiche,2013.0,Abdellatif Kechiche,,/name/nm0444244/,1960.0,"Tunis, Tunisia", Tunisia,59.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,The Return ,Andrey Zvyagintsev,2003.0,Andrey Zvyagintsev,,/name/nm1168657/,1964.0,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]", USSR [now Russia],55.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Amour ,Michael Haneke,2012.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany,77.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Import Export ,Ulrich Seidl,2007.0,Ulrich Seidl,,/name/nm0782430/,1952.0,"Vienna, Austria", Austria,67.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Son of Saul ,László Nemes,2015.0,László Nemes,,/name/nm1841577/,1977.0,"Budapest, Hungary", Hungary,42.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Kill Bill: Vol. 1 ,Quentin Tarantino,2003.0,Quentin Tarantino,,/name/nm0000233/,1963.0,"Knoxville, Tennessee, USA", USA,56.0
Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,The Revenant ,Alejandro González Iñárritu,2015.0,Alejandro González Iñárritu,,/name/nm0327944/,1963.0,"Mexico City, Distrito Federal, Mexico", Mexico,56.0
Antoine Guillot,France,France Culture,Tropical Malady ,Apichatpong Weerasethakul,2004.0,Apichatpong Weerasethakul,,/name/nm0917405/,1970.0,"Bangkok, Thailand", Thailand,49.0
Antoine Guillot,France,France Culture,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA,73.0
Antoine Guillot,France,France Culture,The Turin Horse ,Béla Tarr and Ágnes Hranitzky,2011.0,Béla Tarr, Ágnes Hranitzky,/name/nm0850601/,1955.0,"Pécs, Hungary", Hungary,64.0
Antoine Guillot,France,France Culture,Tie Xi Qu: West of the Tracks ,Wang Bing,2002.0,Wang Bing,,/name/nm7432856/,,,,
Antoine Guillot,France,France Culture,Le filmeur ,Alain Cavalier,2005.0,Alain Cavalier,,/name/nm0146760/,1931.0,"Vendôme, Loir-et-Cher, France", France,88.0
Antoine Guillot,France,France Culture,Holy Motors ,Leos Carax,2012.0,Leos Carax,,/name/nm0136021/,1960.0,"Suresnes, Seine [now Hauts-de-Seine], France", France,59.0
Antoine Guillot,France,France Culture,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,1952.0,"Louisville, Kentucky, USA", USA,67.0
Antoine Guillot,France,France Culture,A Touch of Sin ,Jia Zhangke,2013.0,Jia Zhangke,,/title/tt4092686/,,,,
Antoine Guillot,France,France Culture,Pan's Labyrinth ,Guillermo Del Toro,2006.0,Guillermo Del Toro,,/name/nm0868219/,1964.0,"Guadalajara, Jalisco, Mexico", Mexico,55.0
Antoine Guillot,France,France Culture,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan,78.0
Tom Gunning,US,University of Chicago,The New World ,Terrence Malick,2005.0,Terrence Malick,,/name/nm0000517/,1943.0,"Ottawa, Illinois, USA", USA,76.0
Tom Gunning,US,University of Chicago,Capitalism: Child Labor ,Ken Jacobs,2007.0,Ken Jacobs,,/name/nm0414499/,1933.0,"Williamsburg, Brooklyn, New York City, New York, USA", USA,86.0
